regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Brasil;;;76;;;;2021-01-15;2;210147125;8393492;69198;208246;1151;7361379;823867;
Brasil;;;76;;;;2021-01-16;2;210147125;8455059;61567;209296;1050;7388784;856979;
Brasil;;;76;;;;2021-01-17;3;210147125;8488099;33040;209847;551;7411654;866598;
Brasil;;;76;;;;2021-01-18;3;210147125;8511770;23671;210299;452;7452047;849424;
Brasil;;;76;;;;2021-01-19;3;210147125;8573864;62094;211491;1192;7518846;843527;
Brasil;;;76;;;;2021-01-20;3;210147125;8638249;64385;212831;1340;7564622;860796;
Brasil;;;76;;;;2021-01-21;3;210147125;8697368;59119;214147;1316;7580741;902480;
Brasil;;;76;;;;2021-01-22;3;210147125;8753920;56552;215243;1096;7594771;943906;
Brasil;;;76;;;;2021-01-23;3;210147125;8816254;62334;216445;1202;7628438;971371;
Brasil;;;76;;;;2021-01-24;4;210147125;8844577;28323;217037;592;7653770;973770;
Brasil;;;76;;;;2021-01-25;4;210147125;8871393;26816;217664;627;7709602;944127;
Brasil;;;76;;;;2021-01-26;4;210147125;8933356;61963;218878;1214;7798655;915823;
Brasil;;;76;;;;2021-01-27;4;210147125;8996876;63520;220161;1283;7877337;899378;
Brasil;;;76;;;;2021-01-28;4;210147125;9058687;61811;221547;1386;7923794;913346;
Brasil;;;76;;;;2021-01-29;4;210147125;9118513;59826;222666;1119;7960643;935204;
Brasil;;;76;;;;2021-01-30;4;210147125;9176975;58462;223945;1279;7998246;954784;
Brasil;;;76;;;;2021-01-31;5;210147125;9204731;27756;224504;559;8027042;953185;
Norte;RO;;11;;;;2021-01-30;4;1777225;123957;757;2229;13;;;
Norte;RO;;11;;;;2021-01-31;5;1777225;124663;706;2244;15;;;
Norte;RO;;11;;;;2021-02-01;5;1777225;125612;949;2259;15;;;
Norte;RO;;11;;;;2021-02-02;5;1777225;126766;1154;2281;22;;;
Norte;RO;;11;;;;2021-02-03;5;1777225;127713;947;2293;12;;;
Norte;RO;;11;;;;2021-02-04;5;1777225;128743;1030;2314;21;;;
Norte;RO;;11;;;;2021-02-05;5;1777225;129902;1159;2326;12;;;
Norte;RO;;11;;;;2021-02-06;5;1777225;130753;851;2341;15;;;
Norte;RO;;11;;;;2021-02-07;6;1777225;131172;419;2346;5;;;
Norte;RO;;11;;;;2021-02-08;6;1777225;132167;995;2369;23;;;
Norte;RO;;11;;;;2021-02-09;6;1777225;133113;946;2391;22;;;
Norte;RO;;11;;;;2021-02-10;6;1777225;133983;870;2433;42;;;
Norte;RO;;11;;;;2021-02-11;6;1777225;134697;714;2455;22;;;
Norte;RO;;11;;;;2021-02-12;6;1777225;135535;838;2482;27;;;
Norte;RO;;11;;;;2021-02-13;6;1777225;135784;249;2484;2;;;
Norte;RO;;11;;;;2021-02-14;7;1777225;136603;819;2509;25;;;
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-04-29;17;3464;302;0;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-04-30;17;3464;303;1;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-05-01;17;3464;303;0;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-05-02;18;3464;303;0;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-05-03;18;3464;303;0;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-05-04;18;3464;305;2;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-05-05;18;3464;306;1;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-05-06;18;3464;306;0;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-05-07;18;3464;307;1;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-05-08;18;3464;307;0;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-05-09;19;3464;307;0;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-05-10;19;3464;308;1;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-05-11;19;3464;309;1;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-05-12;19;3464;311;2;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-05-13;19;3464;312;1;2;0;;;0
Sul;RS;Alegria;43;430045;43014;REGIAO 14;2021-05-14;19;3464;312;0;2;0;;;0
