name,run.no.in.std.order,run.no,run.no.std.rp,PU,PL,DL,Blue,Red
1,8,1,8.1,Low,Low,Low,461,474
2,8,2,8.2,Low,Low,Low,458,469
3,2,3,2.1,Low,High,High,379,547
4,2,4,2.2,Low,High,High,369,541
5,4,5,4.1,Low,Low,High,430,498
6,4,6,4.2,Low,Low,High,430,495
7,6,7,6.1,Low,High,Low,451,482
8,6,8,6.2,Low,High,Low,447,483
9,5,9,5.1,High,High,Low,506,430
10,5,10,5.2,High,High,Low,507,424
11,3,11,3.1,High,Low,High,458,474
12,3,12,3.2,High,Low,High,464,465
13,1,13,1.1,High,High,High,485,450
14,1,14,1.2,High,High,High,474,456
15,7,15,7.1,High,Low,Low,442,489
16,7,16,7.2,High,Low,Low,459,467
